2025-08-12 09:16:45 | INFO | cookie_collector.py:14 : 
************************************************************************************************************************
2025-08-12 09:16:45 | INFO | cookie_collector.py:15 : 开始获取cookie采集：['林内官方旗舰店']
2025-08-12 09:16:45 | INFO | cookie_collector.py:16 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\cookie_manager\\淘宝直播cookie.py']
2025-08-12 09:16:45 | INFO | cookie_collector.py:28 : 需要转换cookie店铺['林内官方旗舰店']
2025-08-12 09:17:00 | INFO | 淘宝直播cookie.py:30 : 林内官方旗舰店获取cookie成功
2025-08-12 09:21:42 | INFO | cookie_collector.py:14 : 
************************************************************************************************************************
2025-08-12 09:21:42 | INFO | cookie_collector.py:15 : 开始获取cookie采集：['林内官方旗舰店']
2025-08-12 09:21:42 | INFO | cookie_collector.py:16 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\cookie_manager\\淘宝直播cookie.py']
2025-08-12 09:21:42 | INFO | cookie_collector.py:28 : 需要转换cookie店铺['林内官方旗舰店']
2025-08-12 09:21:55 | INFO | 淘宝直播cookie.py:46 : 林内官方旗舰店获取cookie成功
2025-08-12 09:23:29 | INFO | cookie_collector.py:14 : 
************************************************************************************************************************
2025-08-12 09:23:29 | INFO | cookie_collector.py:15 : 开始获取cookie采集：['林内官方旗舰店']
2025-08-12 09:23:29 | INFO | cookie_collector.py:16 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\cookie_manager\\淘宝直播cookie.py']
2025-08-12 09:23:29 | INFO | cookie_collector.py:28 : 需要转换cookie店铺['林内官方旗舰店']
2025-08-12 09:23:42 | INFO | 淘宝直播cookie.py:46 : 林内官方旗舰店获取cookie成功
2025-08-12 09:28:39 | INFO | cookie_collector.py:14 : 
************************************************************************************************************************
2025-08-12 09:28:39 | INFO | cookie_collector.py:15 : 开始获取cookie采集：['林内官方旗舰店']
2025-08-12 09:28:39 | INFO | cookie_collector.py:16 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\cookie_manager\\淘宝直播cookie.py']
2025-08-12 09:28:39 | INFO | cookie_collector.py:28 : 需要转换cookie店铺['林内官方旗舰店']
2025-08-12 16:24:34 | INFO | cookie_collector.py:14 : 
************************************************************************************************************************
2025-08-12 16:24:34 | INFO | cookie_collector.py:15 : 开始获取cookie采集：['林内官方旗舰店']
2025-08-12 16:24:34 | INFO | cookie_collector.py:16 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\cookie_manager\\淘宝直播cookie.py']
2025-08-12 16:24:34 | INFO | cookie_collector.py:28 : 需要转换cookie店铺['林内官方旗舰店']
2025-08-12 16:24:50 | INFO | cookie_collector.py:14 : 
************************************************************************************************************************
2025-08-12 16:24:50 | INFO | cookie_collector.py:15 : 开始获取cookie采集：['林内官方旗舰店']
2025-08-12 16:24:50 | INFO | cookie_collector.py:16 : 接收到的命令行参数: ['C:\\Users\\admin\\Desktop\\yiyuan_spider\\cookie_manager\\淘宝直播cookie.py']
2025-08-12 16:24:50 | INFO | cookie_collector.py:28 : 需要转换cookie店铺['林内官方旗舰店']
2025-08-12 16:25:04 | INFO | 淘宝直播cookie.py:46 : 林内官方旗舰店获取cookie成功
