2026-01-06 08:50:30 | INFO | 【手工】rinnai_pdd_订单查询_订单明细_202411.py:9 : 
************************************************************************************************************************
2026-01-06 08:50:30 | INFO | excel_to_db.py:56 : 成功读取文件: E:\1\956145070orders_export2026-01-06-08-47-56.csv, 共 1813 行数据
2026-01-06 08:50:31 | INFO | 【手工】rinnai_pdd_订单查询_订单明细_202411.py:31 : ----------------------------------------------------------------------------------------------------
2026-01-06 08:50:31 | INFO | 【手工】rinnai_pdd_订单查询_订单明细_202411.py:32 : 
************************************************************************************************************************
2026-01-06 09:04:15 | INFO | select_shop_date.py:34 : 
************************************************************************************************************************
2026-01-06 09:04:15 | INFO | select_shop_date.py:35 : 开始采集：tb_tk_淘宝联盟_数据分析_cps订单明细_订单结算明细报表_202505
2026-01-06 09:04:15 | INFO | select_shop_date.py:36 : 接收到的命令行参数: ['C:/Users/admin/Desktop/yiyuan_spider/执行脚本/淘系_淘宝联盟/tb_tk_淘宝联盟_数据分析_cps订单明细_订单结算明细报表_202505.py']
2026-01-06 09:04:15 | INFO | select_shop_date.py:67 : 采集日期列表['2026-01-05', '2026-01-04', '2026-01-03', '2026-01-02', '2026-01-01', '2025-12-31', '2025-12-30', '2025-12-29', '2025-12-28', '2025-12-27'],采集店铺['林内热水器旗舰店', '林内官方旗舰店']
2026-01-06 09:04:15 | INFO | select_shop_date.py:34 : 
************************************************************************************************************************
2026-01-06 09:04:15 | INFO | select_shop_date.py:35 : 开始采集：tb_sycm_自助分析_取数_商品_流量来源_所有商品_格式化_202507
2026-01-06 09:04:15 | INFO | select_shop_date.py:36 : 接收到的命令行参数: ['C:/Users/admin/Desktop/yiyuan_spider/执行脚本/淘系_生意参谋/tb_sycm_自助分析_取数_商品_流量来源_所有商品_格式化.py']
2026-01-06 09:04:15 | INFO | select_shop_date.py:67 : 采集日期列表['2026-01-05', '2026-01-04', '2026-01-03', '2026-01-02', '2026-01-01', '2025-12-31', '2025-12-30'],采集店铺dict_keys(['林内官方旗舰店'])
2026-01-06 09:04:15 | INFO | select_shop_date.py:34 : 
************************************************************************************************************************
2026-01-06 09:04:15 | INFO | select_shop_date.py:35 : 开始采集：tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品_202509
