2025-07-31 17:20:10 | INFO | data_collector.py:36 : ****************************************************************************************************
2025-07-31 17:20:10 | INFO | data_collector.py:37 : 开始采集：tb_sycm_内容_渠道效果_推荐_单条效果_微详情视频_全部内容_202507
2025-07-31 17:20:10 | INFO | data_collector.py:38 : 接收到的命令行参数: ['C:\\Users\\Administrator\\Desktop\\yiyuan_spider\\生意参谋\\tb_sycm_内容_渠道效果_推荐_单条效果_微详情视频_全部内容_202507.py']
2025-07-31 17:20:10 | INFO | data_collector.py:75 : 采集日期列表['2025-07-30'],采集店铺['林内官方旗舰店', '林内厨电旗舰店']
2025-07-31 17:20:10 | SUCCESS | ShengCanBase.py:43 : SycmAPI初始化成功，token=b0d1afae9,userId=2212375622312
2025-07-31 17:20:10 | INFO | tb_sycm_内容_渠道效果_推荐_单条效果_微详情视频_全部内容_202507.py:29 : 正在采集林内厨电旗舰店，2025-07-30的数据
2025-07-31 17:20:10 | INFO | downloader.py:76 : https://sycm.taobao.com/s_content/recommend/analysis/single/export.json?contentSource=all&keyword=&contentType=minidetail&dateType=day&dateRange=2025-07-30%7C2025-07-30
2025-07-31 17:20:11 | INFO | extra_reqlog.py:12 : 在<frame at 0x00000295B9D43880, file 'C:\\Users\\Administrator\\Desktop\\yiyuan_spider\\extra\\downloader.py', line 79, code download_excel>发起了调用,请求成功（status_code:200）
2025-07-31 17:20:11 | SUCCESS | ShengCanBase.py:43 : SycmAPI初始化成功，token=d71ea63e1,userId=1087143051
2025-07-31 17:20:11 | INFO | tb_sycm_内容_渠道效果_推荐_单条效果_微详情视频_全部内容_202507.py:29 : 正在采集林内官方旗舰店，2025-07-30的数据
2025-07-31 17:20:11 | INFO | downloader.py:76 : https://sycm.taobao.com/s_content/recommend/analysis/single/export.json?contentSource=all&keyword=&contentType=minidetail&dateType=day&dateRange=2025-07-30%7C2025-07-30
