2025-08-22 13:41:30 | INFO | database_manager.py:131 : 表 `gzh_html_files_202508` 创建成功
2025-08-22 13:41:31 | INFO | html_to_db.py:59 : C:\Users\admin\Desktop\新建文件夹 (3)的数据已入库
2025-08-22 13:41:31 | INFO | html_to_db.py:60 : 成功处理文件数: 0
2025-08-22 13:41:31 | INFO | html_to_db.py:61 : 出错文件数: 0
2025-08-22 13:41:31 | INFO | html_to_db.py:63 : 
************************************************************************************************************************
2025-08-22 14:11:06 | ERROR | database_manager.py:140 : 创建表 `gzh_html_files_202508` 失败: (1075, 'Incorrect table definition; there can be only one auto column and it must be defined as a key')
2025-08-22 14:35:20 | ERROR | database_manager.py:139 : 创建表 `gzh_html_files_202508` 失败: (1075, 'Incorrect table definition; there can be only one auto column and it must be defined as a key')
2025-08-22 14:40:52 | ERROR | database_manager.py:139 : 创建表 `gzh_html_files_202508` 失败: (1075, 'Incorrect table definition; there can be only one auto column and it must be defined as a key')
2025-08-22 14:41:46 | INFO | database_manager.py:137 : 表 `gzh_html_files_202508` 创建成功
2025-08-22 14:41:46 | INFO | html_to_db.py:55 : C:\Users\admin\Desktop\新建文件夹 (3)的数据已入库
2025-08-22 14:41:46 | INFO | html_to_db.py:56 : 成功处理文件数: 0
2025-08-22 14:41:46 | INFO | html_to_db.py:57 : 出错文件数: 0
2025-08-22 14:41:46 | INFO | html_to_db.py:59 : 
************************************************************************************************************************
2025-08-22 14:45:13 | INFO | database_manager.py:137 : 表 `gzh_html_files_202508` 创建成功
2025-08-22 14:45:13 | INFO | html_to_db.py:55 : C:\Users\admin\Desktop\新建文件夹 (3)的数据已入库
2025-08-22 14:45:13 | INFO | html_to_db.py:56 : 成功处理文件数: 0
2025-08-22 14:45:13 | INFO | html_to_db.py:57 : 出错文件数: 0
2025-08-22 14:45:13 | INFO | html_to_db.py:59 : 
************************************************************************************************************************
2025-08-22 14:46:08 | INFO | html_to_db.py:56 : C:\Users\admin\Desktop\新建文件夹 (3)的数据已入库
2025-08-22 14:46:08 | INFO | html_to_db.py:57 : 成功处理文件数: 2
2025-08-22 14:46:08 | INFO | html_to_db.py:58 : 出错文件数: 0
2025-08-22 14:46:08 | INFO | html_to_db.py:60 : 
************************************************************************************************************************
2025-08-22 14:47:45 | INFO | html_to_db.py:56 : C:\Users\admin\Desktop\新建文件夹 (3)的数据已入库
